Task Name,Description,Service,ReferenceID,Cadence,Roles,Estimated Hours,Gate,AutomationFlag,Priority,Block/Phase,Checklist,TemplatePath
Briefing / Kickoff,"Briefing Zero + LENTE + acessos + objetivo/4 fontes do sitemap.",SIT,F1,one-time,"IM;GP;SO",15,porta-do-dono,false,high,phase,"Briefing zero document || Confirm LENTE || Collect accesses || Define objective and 4 sitemap sources || Record approval (porta do dono)",templates/site/task_briefing.md
Wireframe / Arquitetura,"Sitemap + IA ≤3 cliques · página-chave = 3 wireframes + gate macro.",SIT,F2,one-time,"SEO;CP;FE;SO",14,porta-do-dono,false,high,phase,"Produce sitemap || Create 3 key page wireframes || Validate IA (≤3 clicks) || Gate macro review by owner || Record approval (porta do dono)",templates/site/task_wireframe.md
Copy,"N versões por seção + Conselho (4 cadeiras) → avaliação por seção.",SIT,F3,one-time,"CP;SO",22,porta-do-dono,false,high,phase,"Produce copy versions per section || Run 'Conselho' review (4 reviewers) || Consolidate feedback per section || Approve copy per page",templates/site/task_copy.md
Layout / Design,"Identidade da LENTE · protótipo · QA de craft.",SIT,F4,one-time,"FE;SO",18,porta-do-dono,false,high,phase,"Design identity per LENTE || Produce interactive prototype || QA craft review || Owner layout approval",templates/site/task_layout.md
Dev,"CMS + SEO técnico/schema + tracking (GA4/UTM/pixel) + redirects + SSL/host.",SIT,F5,one-time,"SEO;GT;AD;TI",16,dependency,false,high,phase,"Setup CMS || Implement technical SEO and schema || Configure GA4 / UTM / Pixel || Add redirects || Configure SSL and hosting || Pre-flight checks for go-live",templates/site/task_dev.md
Go-live,"PORTEIRA (10 blocos · checklist) + autorização registrada.",SIT,F6,one-time,"FE;GT;SO",7,porta-do-dono,false,high,phase,"Run 10-block go-live checklist || Verify tracking & redirects || Confirm backups || Record owner authorization (porta do dono)",templates/site/task_golive.md
Pós / Desfecho,"Ativar Canais 4/7 · revisão trimestral · manutenção ou offboarding (só-site).",SIT,F7,one-time,"CS;GP;SO",5,archive,false,medium,phase,"Activate channels (4/7) || Post-launch review (30 days) || Schedule quarterly review || Archive project or schedule maintenance/offboarding",templates/site/task_post.md
Reunião Interna de Projeto,"Reunião de alinhamento interna: status, pendências, decisões para o projeto (sem cliente).",MGMT,MG1,weekly,"GP;CS;FE;CP",1,none,false,medium,management,"Agenda preparada || Minutes recorded || Action items assigned",templates/site/task_mgmt_internal_meeting.md
Follow-up com Cliente,"Follow-up de aprovações e pendências com o cliente (contato no grupo / e-mail).",MGMT,MG2,weekly,"CS;GP",0.5,none,false,high,management,"Check approvals pending || Update client on blockers || Schedule next meeting if needed",templates/site/task_mgmt_client_followup.md
Extração e Publicação de Relatório,"Extrair dados, gerar relatório mensal/pulse e publicar no repositório/pasta do cliente.",MGMT,MG3,monthly,"AD;CS",1,none,false,high,management,"Run data extraction || Generate report file || Publish to folder and notify client",templates/site/task_mgmt_report.md
